PDB,source_PDB,Rank,N,Fmax_eps_per_A,Ln_A,Lm_A,Lf_A,Pattern,CATH,sequence_chain_count,sequence_length,sequence_raw_length,sequence_frac_hydrophobic,sequence_frac_polar,sequence_frac_positive,sequence_frac_negative,sequence_frac_glycine,sequence_frac_proline,sequence_frac_low_complexity,sequence_fraction_charged,sequence_net_charge,sequence_estimated_pI,sequence_hydrophobicity_mean,sequence_hydrophobicity_variance,sequence_frac_A,sequence_frac_C,sequence_frac_D,sequence_frac_E,sequence_frac_F,sequence_frac_G,sequence_frac_H,sequence_frac_I,sequence_frac_K,sequence_frac_L,sequence_frac_M,sequence_frac_N,sequence_frac_P,sequence_frac_Q,sequence_frac_R,sequence_frac_S,sequence_frac_T,sequence_frac_V,sequence_frac_W,sequence_frac_Y,ss_total_residues,ss_H,ss_B,ss_E,ss_G,ss_I,ss_T,ss_S,ss_frac_helix,ss_frac_beta,ss_frac_secondary,ss_fraction_helix,ss_fraction_strand,ss_fraction_coil,ss_helix_segment_count,ss_strand_segment_count,ss_helix_segment_mean_length,ss_strand_segment_mean_length,ss_longest_helix_length,ss_longest_strand_length,ss_transitions_per_residue,chain_list,domain_ranges,num_chains,num_residues,num_atoms,num_hetatm,num_models,num_disulfide_bonds,structure_contact_density,structure_radius_of_gyration,structure_mean_relative_sasa,structure_fraction_buried,structure_beta_topology_score
1c4p,1c4p,1,137,5.4,50.4,140.8,516.8,M,3.10.20.180,4,538,541,0.4312267657992565,0.34572490706319703,0.1449814126394052,0.15613382899628253,0.03717472118959108,0.048327137546468404,0.08550185873605948,0.30111524163568776,-16.927103985092515,5.132996532823199,-0.7665427509293681,9.53033042661102,0.03717472118959108,0.0,0.08550185873605948,0.07063197026022305,0.02973977695167286,0.03717472118959108,0.022304832713754646,0.08178438661710037,0.09293680297397769,0.08921933085501858,0.007434944237918215,0.06691449814126393,0.048327137546468404,0.05947955390334572,0.02973977695167286,0.05204460966542751,0.08921933085501858,0.04460966542750929,0.0,0.055762081784386616,541,60,16,221,0,0,43,56,0.110906,0.438078,0.548983,0.11090573012939002,0.43807763401109057,0.4510166358595194,4,48,15.0,4.9375,15,13,0.3364140480591497,A|B|C|D,A:149-285|B:149-285|C:149-280|D:149-280,4,538,4350,121,1,0,9.12267657992565,26.061680654990056,0.10736642281716631,0.21933085501858737,3.9964405719822165
1qqr,1qqr,2,138,5.2,52.3,144.7,520.6,M,3.10.20.180,4,547,550,0.4405850091407678,0.33455210237659966,0.14625228519195613,0.14990859232175502,0.03656307129798903,0.04936014625228519,0.08592321755027423,0.2961608775137112,-9.294916217700106,5.440363903438083,-0.7519195612431444,9.74929704654606,0.03656307129798903,0.0,0.08409506398537477,0.06581352833638025,0.03473491773308958,0.03656307129798903,0.014625228519195612,0.08043875685557587,0.08775137111517367,0.09506398537477148,0.007312614259597806,0.07312614259597806,0.04936014625228519,0.05850091407678245,0.043875685557586835,0.051188299817184646,0.08043875685557587,0.043875685557586835,0.0,0.056672760511883,550,60,10,229,3,0,54,50,0.114545,0.434545,0.549091,0.11454545454545455,0.43454545454545457,0.4509090909090909,5,46,12.6,5.195652173913044,15,13,0.33454545454545453,A|B|C|D,A:151-288|B:151-283|C:151-288|D:151-288,4,547,4457,337,1,0,8.954296160877513,27.880570920289834,0.1085855415151576,0.21023765996343693,3.891048695363138
1g1k,1g1k,3,143,4.2,43.5,83.7,539.6,MA,2.60.40.680,2,286,287,0.5454545454545454,0.3006993006993007,0.08391608391608392,0.08391608391608392,0.0979020979020979,0.03496503496503497,0.13286713286713286,0.16783216783216784,-0.17288733024268765,6.534817772510905,0.21398601398601402,8.078126069734461,0.0979020979020979,0.006993006993006993,0.06993006993006994,0.013986013986013986,0.06293706293706294,0.0979020979020979,0.0,0.04895104895104895,0.08391608391608392,0.055944055944055944,0.013986013986013986,0.06293706293706294,0.03496503496503497,0.0,0.0,0.08391608391608392,0.13286713286713286,0.11888111888111888,0.0,0.013986013986013986,287,8,6,158,12,0,26,24,0.069686,0.571429,0.641115,0.06968641114982578,0.5714285714285714,0.3588850174216028,6,28,3.3333333333333335,5.857142857142857,4,14,0.3693379790940767,A|B,A:2-144|B:2-144,2,286,2054,226,1,0,10.475524475524475,19.99126913789683,0.09216479849964013,0.36363636363636365,5.986013986013985
1aoh,1aoh,4,147,4.0,34.0,71.1,554.8,MA,2.60.40.680,2,290,291,0.5896551724137931,0.2103448275862069,0.0896551724137931,0.13793103448275862,0.09655172413793103,0.06206896551724138,0.15862068965517243,0.22758620689655173,-14.147126941855024,4.348803884692643,0.08310344827586202,9.700369678953628,0.07586206896551724,0.006896551724137931,0.08275862068965517,0.05517241379310345,0.06896551724137931,0.09655172413793103,0.0,0.08275862068965517,0.06206896551724138,0.03793103448275862,0.006896551724137931,0.05517241379310345,0.06206896551724138,0.013793103448275862,0.027586206896551724,0.04827586206896552,0.05862068965517241,0.1310344827586207,0.0,0.027586206896551724,291,8,5,161,0,0,44,20,0.027491,0.570447,0.597938,0.027491408934707903,0.570446735395189,0.4020618556701031,2,27,4.0,6.148148148148148,4,15,0.3333333333333333,A|B,A:5-147|B:1-147,2,290,2127,381,1,0,10.282758620689656,19.606620042998227,0.09407446086705722,0.3586206896551724,5.86576608602915
1ssn,1ssn,5,136,3.8,9.5,187.1,513.0,B1M,3.10.20.130,1,136,136,0.49264705882352944,0.25735294117647056,0.16911764705882354,0.16176470588235295,0.058823529411764705,0.0661764705882353,0.125,0.33088235294117646,-0.887935146743029,6.183189136493638,-0.625,8.949963235294117,0.03676470588235294,0.0,0.058823529411764705,0.10294117647058823,0.051470588235294115,0.058823529411764705,0.014705882352941176,0.051470588235294115,0.14705882352941177,0.058823529411764705,0.007352941176470588,0.03676470588235294,0.0661764705882353,0.0,0.007352941176470588,0.0661764705882353,0.07352941176470588,0.08823529411764706,0.007352941176470588,0.0661764705882353,136,12,1,38,3,0,11,24,0.110294,0.286765,0.397059,0.11029411764705882,0.2867647058823529,0.6029411764705882,2,9,7.5,4.333333333333333,12,10,0.38235294117647056,A,A:1-136,1,136,43640,0,20,0,9.529411764705882,15.016946329747,0.10249936230148168,0.27205882352941174,2.732698961937716
1ie5,1ie5*,6,107,3.8,51.5,102.2,402.8,MA,2.60.40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1c76,1c76,7,136,3.7,29.0,103.5,513.0,MA,3.10.20.130,1,121,121,0.5206611570247934,0.24793388429752067,0.15702479338842976,0.15702479338842976,0.05785123966942149,0.0743801652892562,0.1322314049586777,0.3140495867768595,-1.888258031108851,5.67895626817608,-0.48429752066115705,9.329422853630216,0.03305785123966942,0.0,0.04132231404958678,0.11570247933884298,0.049586776859504134,0.05785123966942149,0.01652892561983471,0.05785123966942149,0.1322314049586777,0.06611570247933884,0.008264462809917356,0.04132231404958678,0.0743801652892562,0.0,0.008264462809917356,0.04132231404958678,0.08264462809917356,0.09917355371900827,0.008264462809917356,0.06611570247933884,121,12,0,54,0,0,19,8,0.099174,0.446281,0.545455,0.09917355371900827,0.4462809917355372,0.45454545454545453,1,9,12.0,6.0,12,12,0.32231404958677684,A,A:16-136,1,121,981,16,1,0,9.041322314049587,15.03996176281003,0.10633673030367245,0.1652892561983471,4.034970288914692
1ppx,1ppx,8,129,3.7,36.0,224.9,486.4,B2M,3.90.79.10,1,129,129,0.5581395348837209,0.16279069767441862,0.13953488372093023,0.17054263565891473,0.07751937984496124,0.06976744186046512,0.14728682170542637,0.31007751937984496,-6.782116460801937,4.875763555667618,-0.47519379844961246,9.813493179496422,0.06976744186046512,0.0,0.031007751937984496,0.13953488372093023,0.05426356589147287,0.07751937984496124,0.023255813953488372,0.06976744186046512,0.06201550387596899,0.08527131782945736,0.031007751937984496,0.046511627906976744,0.06976744186046512,0.03875968992248062,0.05426356589147287,0.015503875968992248,0.031007751937984496,0.05426356589147287,0.03875968992248062,0.007751937984496124,129,18,2,37,6,0,18,13,0.186047,0.302326,0.488372,0.18604651162790697,0.3023255813953488,0.5116279069767442,3,7,8.0,5.571428571428571,11,11,0.35658914728682173,A,A:1-129,1,129,41840,860,20,0,9.689922480620154,13.797623071721492,0.10095408783849276,0.3023255813953488,2.929511447629349
1c77,1c77,9,136,3.6,27.2,144.1,513.0,MA,3.10.20.130,2,258,259,0.5155038759689923,0.24031007751937986,0.16666666666666666,0.16279069767441862,0.06589147286821706,0.06976744186046512,0.13565891472868216,0.32945736434108525,-2.685998163484726,5.911825445805334,-0.5848837209302324,9.153531188029564,0.03875968992248062,0.0,0.05426356589147287,0.10852713178294573,0.046511627906976744,0.06589147286821706,0.015503875968992248,0.05426356589147287,0.1434108527131783,0.06201550387596899,0.007751937984496124,0.03875968992248062,0.06976744186046512,0.0,0.007751937984496124,0.03875968992248062,0.07751937984496124,0.09302325581395349,0.007751937984496124,0.06976744186046512,259,24,1,106,0,0,37,27,0.092664,0.413127,0.505792,0.09266409266409266,0.41312741312741313,0.4942084942084942,2,20,12.0,5.35,12,12,0.3667953667953668,A|B,A:7-136|B:9-136,2,258,2084,0,1,0,9.13953488372093,23.43225418608732,0.10699598097853912,0.18992248062015504,3.7757924036993806
1c79,1c79,10,136,3.6,27.2,140.3,513.0,MA,3.10.20.130,2,258,259,0.5155038759689923,0.24031007751937986,0.16666666666666666,0.16279069767441862,0.06589147286821706,0.06976744186046512,0.13565891472868216,0.32945736434108525,-2.685998163484726,5.911825445805334,-0.5848837209302324,9.153531188029564,0.03875968992248062,0.0,0.05426356589147287,0.10852713178294573,0.046511627906976744,0.06589147286821706,0.015503875968992248,0.05426356589147287,0.1434108527131783,0.06201550387596899,0.007751937984496124,0.03875968992248062,0.06976744186046512,0.0,0.007751937984496124,0.03875968992248062,0.07751937984496124,0.09302325581395349,0.007751937984496124,0.06976744186046512,259,24,0,106,0,0,37,27,0.092664,0.409266,0.501931,0.09266409266409266,0.4092664092664093,0.4980694980694981,2,19,12.0,5.578947368421052,12,12,0.36293436293436293,A|B,A:7-136|B:9-136,2,258,2084,0,1,0,8.976744186046512,19.92435457430132,0.10880235720351998,0.17054263565891473,3.673879859926372
